date,fx_rate_usd_ngn
2023-06-12,460.0
2023-06-19,920.0
2023-06-26,920.0
2023-07-03,920.0
2023-07-10,920.0
2023-07-17,920.0
2023-07-24,920.0
2023-07-31,920.0
2023-08-07,920.0
2023-08-14,920.0
2023-08-21,920.0
2023-08-28,920.0
2023-09-04,920.0
2023-09-11,920.0
2023-09-18,920.0
2023-09-25,920.0
2023-10-02,920.0
2023-10-09,920.0
2023-10-16,920.0
2023-10-23,920.0
2023-10-30,920.0
2023-11-06,920.0
2023-11-13,920.0
2023-11-20,920.0
2023-11-27,920.0
2023-12-04,920.0
2023-12-11,920.0
2023-12-18,920.0
2023-12-25,920.0
2024-01-01,1500.0
2024-01-08,1500.0
2024-01-15,1500.0
2024-01-22,1500.0
2024-01-29,1500.0
2024-02-05,1500.0
2024-02-12,1500.0
2024-02-19,1500.0
2024-02-26,1500.0
2024-03-04,1500.0
2024-03-11,1500.0
2024-03-18,1500.0
2024-03-25,1500.0
2024-04-01,1460.0
2024-04-08,1460.0
2024-04-15,1460.0
2024-04-22,1460.0
2024-04-29,1460.0
2024-05-06,1460.0
2024-05-13,1460.0
2024-05-20,1460.0
2024-05-27,1460.0
2024-06-03,1460.0
2024-06-10,1460.0
2024-06-17,1460.0
2024-06-24,1460.0
2024-07-01,1580.0
2024-07-08,1580.0
2024-07-15,1580.0
2024-07-22,1580.0
2024-07-29,1580.0
2024-08-05,1580.0
2024-08-12,1580.0
2024-08-19,1580.0
2024-08-26,1580.0
2024-09-02,1580.0
2024-09-09,1580.0
2024-09-16,1580.0
2024-09-23,1580.0
2024-09-30,1580.0
2024-10-07,1700.0
2024-10-14,1700.0
2024-10-21,1700.0
2024-10-28,1700.0
2024-11-04,1700.0
2024-11-11,1700.0
2024-11-18,1700.0
2024-11-25,1700.0
2024-12-02,1700.0
2024-12-09,1700.0
2024-12-16,1700.0
2024-12-23,1700.0
2024-12-30,1700.0
2025-01-06,1570.0
2025-01-13,1570.0
2025-01-20,1570.0
2025-01-27,1570.0
2025-02-03,1585.0
2025-02-10,1585.0
2025-02-17,1585.0
2025-02-24,1585.0
2025-03-03,1575.0
2025-03-10,1575.0
2025-03-17,1575.0
2025-03-24,1575.0
2025-03-31,1575.0
2025-04-07,1590.0
2025-04-14,1590.0
2025-04-21,1590.0
2025-04-28,1590.0
2025-05-05,1600.0
2025-05-12,1600.0
2025-05-19,1600.0
2025-05-26,1600.0
2025-06-02,1610.0
