2026-04-11 15:39:04.906 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-01-16 | ₦147,922/MT | Below hard floor 500,000
2026-04-11 15:39:04.907 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-01-23 | ₦140,733/MT | Below hard floor 500,000
2026-04-11 15:39:04.908 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-01-30 | ₦141,082/MT | Below hard floor 500,000
2026-04-11 15:39:04.909 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-02-06 | ₦146,672/MT | Below hard floor 500,000
2026-04-11 15:39:04.909 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-02-13 | ₦138,538/MT | Below hard floor 500,000
2026-04-11 15:39:04.910 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-02-20 | ₦146,883/MT | Below hard floor 500,000
2026-04-11 15:39:04.911 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-02-27 | ₦147,266/MT | Below hard floor 500,000
2026-04-11 15:39:04.912 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-03-05 | ₦165,380/MT | Below hard floor 500,000
2026-04-11 15:39:04.913 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-03-12 | ₦153,111/MT | Below hard floor 500,000
2026-04-11 15:39:04.914 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-03-19 | ₦155,393/MT | Below hard floor 500,000
2026-04-11 15:39:04.914 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-03-26 | ₦153,840/MT | Below hard floor 500,000
2026-04-11 15:39:04.914 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-04-02 | ₦141,846/MT | Below hard floor 500,000
2026-04-11 15:39:04.914 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-04-09 | ₦152,040/MT | Below hard floor 500,000
2026-04-11 15:39:04.918 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-04-16 | ₦150,316/MT | Below hard floor 500,000
2026-04-11 15:39:04.919 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-04-23 | ₦150,488/MT | Below hard floor 500,000
2026-04-11 15:39:04.920 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-04-30 | ₦142,990/MT | Below hard floor 500,000
2026-04-11 15:39:04.920 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-05-07 | ₦138,597/MT | Below hard floor 500,000
2026-04-11 15:39:04.922 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-05-14 | ₦127,407/MT | Below hard floor 500,000
2026-04-11 15:39:04.923 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-05-21 | ₦135,342/MT | Below hard floor 500,000
2026-04-11 15:39:04.924 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-05-28 | ₦141,740/MT | Below hard floor 500,000
2026-04-11 15:39:04.924 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-06-04 | ₦122,256/MT | Below hard floor 500,000
2026-04-11 15:39:04.925 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-06-11 | ₦123,859/MT | Below hard floor 500,000
2026-04-11 15:39:04.926 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-06-18 | ₦126,377/MT | Below hard floor 500,000
2026-04-11 15:39:04.927 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-06-25 | ₦124,097/MT | Below hard floor 500,000
2026-04-11 15:39:04.928 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-07-02 | ₦120,138/MT | Below hard floor 500,000
2026-04-11 15:39:04.929 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-07-09 | ₦126,259/MT | Below hard floor 500,000
2026-04-11 15:39:04.930 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-07-16 | ₦121,984/MT | Below hard floor 500,000
2026-04-11 15:39:04.931 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-07-23 | ₦127,790/MT | Below hard floor 500,000
